Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments (Do not use commas)
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,
0,0,0,,3,23,1,,SL1 MG 11_22,NV,,,
3,23,1,,3,23,13,,,NC,,,
3,23,13,,3,23,16,,,B,B,B,
3,23,16,,3,23,57,,,NC,,,
3,23,57,,3,23,58,,,B,B,B,
3,23,58,,3,24,57,,,NC,,,
3,24,57,,3,24,59,,,B,B,B,
3,24,59,,3,25,53,,,NC,,,
3,25,53,,3,25,55,,,B,B,B,
3,25,55,,3,26,59,,,NC,,,
3,26,59,,3,27,0,,,HC,HF,HF,
3,27,0,,3,26,33,,,B,U,B,
3,26,33,,3,27,14,,,HC,HF,HF,
3,27,14,,3,27,19,,,B,U,B,
3,27,19,,3,27,57,,,NC,,,
3,27,57,,3,28,0,,,B,U,B,
3,28,0,,3,28,55,,,NC,,,
3,28,55,,3,28,57,,,B,U,B,
3,28,57,,3,31,30,,,NC,,,
3,31,30,,3,31,32,,,B,U,U,
3,31,32,,3,32,18,,,NC,,,
3,32,18,,3,33,4,,,B,U,B,
3,33,4,,3,33,43,,,NC,,,
3,33,43,,3,33,47,,,B,U,U,
3,33,47,,3,34,23,,,NC,,,
3,34,23,,3,34,24,,,B,U,B,
3,34,24,,3,35,11,,,NC,,,
3,35,11,,3,35,12,,,B,U,B,
3,35,12,,3,38,23,,,NV,,,
3,38,23,,3,38,25,,,B,U,B,
3,38,25,,3,39,17,,,NC,,,
3,39,17,,3,39,18,,,HC,HF,HF,
3,39,18,,3,39,21,,,B,U,B,
3,39,21,,4,2,58,,,NV,,,
4,2,58,,4,2,59,,,B,U,B,
4,2,59,,4,3,45,,,NC,,,
4,3,45,,4,3,46,,,HC,HF,HF,
4,3,46,,4,3,35,,,NC,,,
4,3,35,,4,3,36,,,HC,HF,HF,
4,3,36,,4,5,14,,,NC,,,
4,5,14,,4,5,15,,,B,U,B,
4,5,15,,4,5,53,,,NC,,,
4,5,53,,4,5,55,,,B,U,B,
4,5,55,,4,23,40,,,NV,,,
4,23,40,,4,23,41,,,B,U,B,
4,23,41,,4,24,22,,,NC,,,
4,24,22,,4,24,24,,,HC,HF,HF,
4,24,24,,4,25,52,,,NC,,,
4,25,52,,4,25,53,,,HC,HT,B,
4,25,53,,4,26,30,,,NC,,,
4,26,30,,4,26,33,,,B,U,B,
4,26,33,,4,27,11,,,NC,,,
4,27,11,,4,27,14,,,B,U,B,
4,27,14,,4,28,7,,,NC,,,
4,28,7,,4,28,9,,,HC,HF,HF,
4,28,9,,4,28,12,,,B,U,B,
4,28,12,,4,28,53,,,NC,,,
4,28,53,,4,28,55,,,B,U,B,
4,28,55,,4,29,36,,,NC,,,
4,29,36,,4,29,40,,,B,U,B,
4,29,40,,,,,,,,,,
