Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments (Do not use commas)
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,
5,2,3,,5,4,2,,EZ2 JG_11_21,,,,
5,4,2,,5,8,17,,EZ2 JG_11_21,NV,,,
5,8,17,,5,9,18,,EZ2 JG_11_21,NC,,,
5,9,18,,5,9,20,,EZ2 JG_11_21,B,U,B,
5,9,20,,5,9,38,,EZ2 JG_11_21,NC,,,
5,9,38,,5,9,41,,EZ2 JG_11_21,B,U,B,
5,9,41,,5,10,25,,EZ2 JG_11_21,NC,,,
5,10,25,,5,10,27,,EZ2 JG_11_21,B,U,B,
5,10,27,,5,12,38,,EZ2 JG_11_21,NC,,,
5,12,38,,5,12,40,,EZ2 JG_11_21,B,U,B,
5,12,40,,5,14,2,,EZ2 JG_11_21,NC,,,
5,14,2,,5,14,3,,EZ2 JG_11_21,HC,HS,B,
5,14,3,,5,14,48,,EZ2 JG_11_21,NC,,,
5,14,48,,5,14,54,,EZ2 JG_11_21,B,U,B,
5,14,54,,5,15,29,,EZ2 JG_11_21,NC,,,
5,15,29,,5,15,31,,EZ2 JG_11_21,HC,HF,B,
5,15,31,,5,16,2,,EZ2 JG_11_21,NC,,,
5,16,2,,5,16,5,,EZ2 JG_11_21,B,U,B,
5,16,5,,5,17,13,,EZ2 JG_11_21,NC,,,
5,17,13,,5,17,16,,EZ2 JG_11_21,B,U,B,
5,17,16,,5,17,57,,EZ2 JG_11_21,NC,,,
5,17,57,,5,17,59,,EZ2 JG_11_21,B,U,B,
5,17,59,,5,18,47,,EZ2 JG_11_21,NC,,,
5,18,47,,5,18,53,,EZ2 JG_11_21,B,U,B,
5,18,53,,5,19,39,,EZ2 JG_11_21,NC,,,
5,19,39,,5,19,43,,EZ2 JG_11_21,B,U,B,
5,19,43,,5,20,22,,EZ2 JG_11_21,NC,,,
5,20,22,,5,20,25,,EZ2 JG_11_21,B,U,B,
5,20,25,,5,53,1,,EZ2 JG_11_21,NC,,,
5,53,1,,5,53,3,,EZ2 JG_11_21,B,U,B,
5,53,3,,5,55,10,,EZ2 JG_11_21,NC,,,
5,55,10,,5,55,12,,EZ2 JG_11_21,B,U,B,
5,55,12,,5,55,51,,EZ2 JG_11_21,NC,,,
5,55,51,,5,55,53,,EZ2 JG_11_21,B,U,B,
5,55,53,,5,56,36,,EZ2 JG_11_21,NC,,,
5,56,36,,5,56,38,,EZ2 JG_11_21,B,U,B,
5,56,38,,5,57,32,,EZ2 JG_11_21,NC,,,
5,57,32,,5,57,34,,EZ2 JG_11_21,B,U,B,
5,57,34,,5,18,14,,EZ2 JG_11_21,NC,,,
5,18,14,,5,18,16,,EZ2 JG_11_21,B,U,B,
5,18,16,,5,59,4,,EZ2 JG_11_21,NC,,,
5,59,4,,5,59,6,,EZ2 JG_11_21,B,U,B,
5,59,6,,5,59,45,,EZ2 JG_11_21,NC,,,
5,59,45,,5,59,46,,EZ2 JG_11_21,B,U,B,
5,59,46,,6,2,7,,EZ2 JG_11_21,NC,,,
6,2,7,,6,2,8,,EZ2 JG_11_21,B,U,B,
