Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments (Do not use commas)
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,
,,,,,,,,EZ1 MD_11_28,,,,
,,,,5,27,36,,,NC,,,
5,27,36,,5,27,37,,,HC,HS,HS,
5,27,37,,5,28,36,,,NC,,,
5,28,36,,5,28,37,,,HC,HT,HF,
5,28,37,,5,30,26,,,NC,,,
5,30,26,,5,30,27,,,HC,HS,HS,
5,30,27,,5,30,47,,,NC,,,
5,30,47,,5,30,48,,,HC,HF,HT,
5,30,48,,5,34,30,,,NC,,,
5,34,30,,5,34,33,,,B,U,B,
5,34,33,,5,37,38,,,NC,,,
5,37,38,,5,37,40,,,B,U,B,
5,37,40,,5,40,18,,,NC,,,
5,40,18,,5,40,20,,,B,U,B,
5,40,20,,5,40,55,,,NC,,,
5,40,55,,5,40,57,,,HC,HF,B,
5,40,57,,5,56,56,,,NC,,,
5,56,56,,5,56,57,,,B,U,B,
5,56,57,,5,59,36,,,NC,,,
5,59,36,,5,59,37,,,B,U,B,
5,59,37,,6,1,3,,,NC,,,
6,1,3,,6,1,5,,,B,U,B,
6,1,5,,6,5,12,,,NC,,,
6,5,12,,6,5,15,,,B,U,B,
6,5,15,,6,24,44,,,NC,,,
6,24,44,,6,24,47,,,B,U,B,
6,24,47,,6,26,6,,,NC,,,
6,26,6,,6,26,8,,,B,U,B,
6,26,8,,6,27,52,,,NC,,,
6,27,52,,6,27,54,,,HC,HF,HF,
6,27,54,,6,30,0,,,NC,,,
6,30,0,,6,30,2,,,HC,HS,HS,
6,30,2,,6,30,46,,,NC,,,
6,30,46,,6,30,48,,,HC,HF,HF,
6,30,48,,,,,,,,,,
