Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments (Do not use commas)
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,
,,,,3,13,11,,EZ2_JG_11_22,NC,,,
3,13,11,,3,13,12,,EZ2_JG_11_23,B,U,B,
3,13,12,,3,14,32,,EZ2_JG_11_24,NC,,,
3,14,32,,3,14,33,,EZ2_JG_11_25,B,B,B,
3,14,33,,3,14,55,,EZ2_JG_11_26,NC,,,
3,14,55,,3,14,58,,EZ2_JG_11_27,B,B,B,
3,14,58,,3,18,50,,EZ2_JG_11_28,NC,,,
3,18,50,,3,18,51,,EZ2_JG_11_29,B,B,B,
3,18,51,,3,19,29,,EZ2_JG_11_30,NC,,,
3,19,29,,3,19,21,,EZ2_JG_11_31,B,B,B,
3,19,21,,3,23,56,,EZ2_JG_11_32,NC,,,
3,23,56,,3,23,58,,EZ2_JG_11_33,B,B,B,
3,23,58,,3,25,54,,EZ2_JG_11_34,NC,,,
3,25,54,,3,25,56,,EZ2_JG_11_35,B,B,B,
3,25,56,,3,26,30,,EZ2_JG_11_36,NC,,,
3,26,30,,3,26,31,,EZ2_JG_11_37,B,B,B,
3,26,31,,3,27,14,,EZ2_JG_11_38,HC,HS,HS,
3,27,14,,3,27,56,,EZ2_JG_11_39,NC,,,
3,27,56,,3,28,55,,EZ2_JG_11_40,NC,,,
3,28,55,,3,28,56,,EZ2_JG_11_41,B,B,B,
3,28,56,,3,31,29,,EZ2_JG_11_42,NC,,,
3,31,29,,3,31,30,,EZ2_JG_11_43,B,B,B,
3,31,30,,3,33,43,,EZ2_JG_11_44,NC,,,
3,33,43,,3,33,45,,EZ2_JG_11_45,HC,HF,HF,
3,33,45,,3,34,23,,EZ2_JG_11_46,NC,,,
3,34,23,,3,34,24,,EZ2_JG_11_47,B,B,B,
3,34,24,,3,39,17,,EZ2_JG_11_48,NC,,,
3,39,17,,4,5,52,,EZ2_JG_11_49,NC,,,
4,5,52,,4,5,53,,EZ2_JG_11_50,B,B,B,
4,5,53,,4,24,21,,EZ2_JG_11_51,NC,,,
4,24,21,,4,24,24,,EZ2_JG_11_52,B,B,B,
4,24,24,,4,25,2,,EZ2_JG_11_53,NC,,,
4,25,2,,4,25,3,,EZ2_JG_11_54,B,B,B,
4,25,3,,4,25,52,,EZ2_JG_11_55,NC,,,
4,25,52,,4,25,53,,EZ2_JG_11_56,HC,HF,HF,
4,25,53,,4,28,7,,EZ2_JG_11_57,NC,,,
4,28,7,,4,28,8,,EZ2_JG_11_58,HC,HF,HF,
4,28,8,,,,,,,,,,
