,,,,,,,,,,,,,
Event Start,,,,Event End,,,,Video File of Timestamp,Event Label,Contacting Object,Opposing object,Comments ,
Hr,Min,Sec,Frame,Hr,Min,Sec,Frame,Filename of video used for event time,,,,,
4,58,27,,5,5,27,,EZ2 JG_11_7.mp4,SL,,,Player standing on sidelines,
5,5,27,,5,6,31,,EZ2 JG_11_7.mp4,NV,,,Camera angle shows only profile of players so cannot distinguish numbers but players are only running and warming up,
5,6,31,,5,22,43,,,NA,,,Player not in view,
5,29,43,,5,29,43,,,BC,U,B,Player shoves opposing player while running,0
5,31,0,,5,31,1,,,BC,U,B,Player shoves opposing player while running,0
5,31,2,,5,46,18,,,NA,,,Player not in view,
5,46,46,,5,46,46,,,BC,U,B,Player shoves opposing player and grapples,0
5,47,5,,5,47,7,,,BC,U,B,Player grapples with opposing player ,0
5,47,41,,5,47,44,,,HC,H,"B, U, L, G",Player charges into opposing player and other players pile up on top,1
5,49,45,,5,49,47,,,BC,U,B,Player grapples with opposing player ,0
5,50,20,,5,50,22,,,BC,U,B,Player charges into opposing player with shoulder,0
5,51,49,,5,51,51,,,BC,U,B,Player grapples with opposing player ,0
5,56,43,,5,56,43,,,HC,HF,U,Another player catches ball and hits player's helmet while player trips and falls to ground,1
5,56,43,,5,56,44,,,NC,,,Player getting back up,
5,59,7,,5,59,7,,,BC,U,B,Player grapples with opposing player ,0
5,59,50,,5,59,51,,,BC,U,B,Player grapples with opposing player ,0
6,0,43,,6,0,45,,,BC,U,B,Player grapples with opposing player ,0
6,2,33,,6,2,35,,,BC,U,B,Player grapples with opposing player ,0
6,5,30,,6,5,31,,,BC,U,B,Player grapples with opposing player ,0
6,6,7,,6,6,8,,,BC,U,B,Player grapples with opposing player ,0
6,6,50,,6,6,50,,,BC,U,B,Player shoves opposing player,0
6,8,29,,6,8,30,,,BC,L,HF,Opposing player runs into the player's shoulder,0
6,8,31,,6,10,43,,,NA,,,Player not in view,
6,10,44,,6,12,8,,,NA,,,"Player not on field, standing on sidelines",
6,12,9,,6,13,16,,,BC,L,U,Opposing player pushes the player's shoulder,0
6,13,55,,6,13,58,,,BC,"B, U","B, U",Opposing player grabbs the player's shoulder and another opposing player charges into the player's chest,0
6,15,47,,6,15,50,,,BC,U,"B, U",Player grapples with the opposing player ,0
6,16,31,,6,16,33,,,BC,U,B,Player grapples with the opposing player ,0
6,17,18,,6,17,20,,,BC,U,B,Player grapples with teh opposing player,0
6,17,54,,6,17,58,,,BC,"B, U,H","B, U",Player shoves opposing player while running,0
6,19,37,,6,19,42,,,HC,HF,B,Player dashes towards the opposing player and grapples iwth opposing player,1
6,20,21,,6,20,23,,,BC,U,U,Player grapples with the opposing player ,0
6,21,14,,6,21,16,,,BC,U,U,Player grapples with the opposing player ,0
6,22,0,,6,22,4,,,BC,U,U,Player grapples with the opposing player ,0
6,23,0,,6,23,3,,,BC,U,U,Player grapples with the opposing player ,0
END OF VIDEO,,,,,,,,,,,,,0.3149703942
,,,,,,,,,,,,,
,,,,,,,,,,,,,0.1071428571
